12s	12s rna	small subunit ribosomal rna	
16s	16s rna	large subunit ribosomal rna	
abcd2	ATP binding cassette subfamily D member 2			
adarb2	adenosine deaminase RNA specific B2			
adnp	activity-dependent neuroprotector homeobox			
adrb2	beta-2 adrenergic receptor			
akap11	A-kinase anchoring protein 11			
akap12	A-kinase anchoring protein 12			
amotl1	angiomotin like 1			
angptl1	angiopoietin like 1			
ank3	ankyrin 3			
ankrd50	ankyrin repeat domain protein 50	ankyrin repeat domain 50		
apc	APC regulator of WNT signaling pathway			
arid1b	AT-rich interaction domain 1B			
arid5b	AT-rich interaction domain 5B			
arsi	arylsulfatase family member I			
asxl3	ASXL transcriptional regulator 3			
atxn1	ataxin 1			
b3galt2	beta-1,3-galactosyltransferase 2			
bcl11a	BAF chromatin remodeling complex subunit BCL11A			
bcl9	BCL9 transcription coactivator			
bcor	BCL6 corepressor			
bdnf	brain derived neurotrophic factor	brain-derived neurotrophic factor		
begain	brain enriched guanylate kinase associated			
bend3	BEN domain containing 3			
bicd1	BICD cargo adaptor 1			
bicral	BRD4 interacting chromatin remodeling complex associated protein like			
birc6	baculoviral IAP repeat containing 6			
bmpr2	bone morphogenetic protein receptor type 2			
bnc1	basonuclin 1			
bptf	bromodomain phd finger transcription factor			
bsn	bassoon presynaptic cytomatrix protein			
btbd17	BTB domain containing 17			
camsap1	calmodulin regulated spectrin associated protein 1			
cand1	cand-1	cullin-associated and neddylation-dissociated 1	cullin associated and neddylation dissociated 1	
ccdc80	coiled-coil domain containing 80			
ccdc85a	coiled-coil domain containing 85A			
ccdc92	coiled-coil domain containing 92			
cdc42ep4	CDC42 effector protein 4			
celsr1	cadherin EGF LAG seven-pass G-type receptor 1			
chd7	chromodomain helicase DNA binding protein 7			
chst1	carbohydrate sulfotransferase 1			
chst8	carbohydrate sulfotransferase 8			
cortbp1	cortactin-binding protein 1			
cox1	CO1	cytochrome oxidase subunit 1		
cox2	CO2	cytochrome oxidase subunit 2		
cpt2	carnitine palmitoyltransferase 2			
ctgf	connective tissue growth factor			
cttnbp2	cortactin binding protein 2			
cxcr4	C-X-C chemokine receptor type 4			
cytb	cytochrome b	cytochrome b apoenzyme	cyt b
dagla	diacylglycerol lipase alpha			
dapk1	death associated protein kinase 1			
dbc1	deleted in bladder cancer 1	brinp1
det1	det-1	de-etiolated-like protein 1		
disp1	disp-1	dispatched-like protein 1	dispatched RND transporter family member 1	
disp2	dispatched-like protein 2	dispatched RND transporter family member 2		
dll1	delta like canonical Notch ligand 1			
dmrt3	doublesex and mab-3 related transcription factor 3			
dmxl1	Dmx like 1			
dmxl2	Dmx like 2			
dnah3	dnah-3	axonemal dynein heavy chain 3	dynein axonemal heavy chain 3	
dolk	dolichol kinase			
dop1b	DOP1 leucine zipper like protein B			
dsel	dermatan sulfate epimerase-like protein	dermatan sulfate epimerase like		
dsp	desmoplakin			
dyrk2	dual specificity tyrosine phosphorylation regulated kinase 2			
elfn2	extracellular leucine rich repeat and fibronectin type III domain containing 2			
enc1	enc-1	ectodermal-neural cortex 1		
extl3	extl-3	exostoses multiple-like 3 protein	exostosin-like glycosyltransferase 3	
fam110b	family with sequence similarity 110 member B			
fam171a1	family with sequence similarity 171 member A1			
fat1	fat atypical cadherin 1			
fat2	fat atypical cadherin 2			
fat3	FAT atypical cadherin 3			
fat4	fat-4	fat tumor suppressor-like protein 4	FAT atypical cadherin 4	
fatj	fat-like cadherin FATJ protein			
fem1b	fem-1-like protein b			
ficd	fic domain-containing protein			
flrt3	fibronectin leucine rich transmembrane protein 3	leucine-rich repeat transmembrane protein FLRT3		
frem2	fras1 related extracellular matrix protein 2			
frem3	FRAS1 related extracellular matrix 3			
fut9	fucosyltransferase 9 alpha			
fzd4	frizzled family receptor 4	frizzled class receptor 4		
gcnt4	glucosaminyl (N-acetyl) transferase 4			
ghsr	growth hormone secretagogue receptor			
gpr12	G protein-coupled receptor 12			
gpr68	G protein-coupled receptor 68			
gpr75	G protein-coupled receptor 75			
gpr87	G protein-coupled receptor 87			
grin3a	glutamate ionotropic receptor NMDA type subunit 3A			
grm1	glutamate metabotropic receptor 1			
grm2	grm-2	glutamate receptor metabotropic 2		
grm5	glutamate metabotropic receptor 5			
h3a	histone 3a			
hivep1	HIVEP zinc finger 1			
hivep2	HIVEP zinc finger 2			
htr1e	5-hydroxytryptamine receptor 1E			
igsf10	immunoglobulin superfamily member 10			
igsf9b	immunoglobulin superfamily member 9B			
iqsec1	IQ motif and Sec7 domain ArfGEF 1			
jmjd1c	jumonji domain containing 1C			
jun	Jun proto-oncogene, AP-1 transcription factor subunit			
kank1	KN motif and ankyrin repeat domains 1			
kat6b	lysine acetyltransferase 6B			
kbtbd12	kelch repeat and BTB domain containing 12			
kbtbd4	kelch repeat and BTB domain containing 4			
kcnd3	voltage-gated potassium channel Kv4.3			
kcnf1	kcnf-1	potassium voltage-gated channel, subfamily f member 1	potassium voltage-gated channel, subfamily f, member 1	potassium voltage-gated channel modifier subfamily F member 1
kcnj15	potassium inwardly rectifying channel subfamily J member 15			
kcnj2	potassium inwardly rectifying channel subfamily J member 2			
kcns3	potassium voltage-gated channel modifier subfamily S member 3			
kcnv2	potassium voltage-gated channel modifier subfamily V member 2			
kiaa0232	kiaa0232-like protein			
kiaa1217	kiaa1217-like protein			
kiaa1239	kiaa1239-like protein	nwd2	NACHT and WD repeat domain containing 2
kiaa2013	kiaa2013-like protein			
kif1b	kinesin family member 1B			
kif26b	kinesin family member 26B			
klf5	Kruppel like factor 5			
klf7	Kruppel like factor 7			
klhl11	kelch like family member 11			
klhl31	kelch like family member 31			
klhl38	kelch like family member 38			
klhl40	kelch like family member 40			
kmt2a	lysine methyltransferase 2A			
