annulatum	Ambystoma annulatum
barbouri	Ambystoma barbouri
bishopi	Ambystoma bishopi
californiense	Ambystoma californiense
cingulatum	Ambystoma cingulatum
gracile	Ambystoma gracile
jeffersonianum	Ambystoma jeffersonianum
laterale	Ambystoma laterale
mabeei	Ambystoma mabeei
macrodactylum	Ambystoma macrodactylum
maculatum	Ambystoma maculatum
mexicanum	Ambystoma mexicanum
opacum	Ambystoma opacum
ordinarium	Ambystoma ordinarium
talpoideum	Ambystoma talpoideum
texanum	Ambystoma texanum
tigrinum	Ambystoma tigrinum
aterrimus	Dicamptodon aterrimus
copei	Dicamptodon copei
ensatus	Dicamptodon ensatus
tenebrosus	Dicamptodon tenebrosus
