valentinei-B	pascagoula
monticola-AC	cheaha
monticola-B	monticola
ocoee-A	adatsihi
ocoee-B	balsameus
ocoee-D	perlapsus
ocoee-FGH	ocoee
ocoee-E	ocoee
apalachicolae-A2	ocoee
apalachicolae-A1	apalachicolae
auriculatus-A	auriculatus
auriculatus-BC	valtos
auriculatus-B	valtos
auriculatus-C	valtos
conanti-BCD	conanti
gamma	conanti
fuscus-A	fuscus
fuscus-B	fuscus
fuscus-E	fuscus
conanti-A	campi
conanti-E	catahoula
conanti-F	anicetus
beta	tilleyi
fuscus-C	lycos
fuscus-D	bairdi
quadramaculatus-A	amphileucus
quadramaculatus-F	gvnigeusgwotli
quadramaculatus-C	mavrokoilius
quadramaculatus-E	mavrokoilius
quadramaculatus-G	mavrokoilius
quadramaculatus-D	kanawha
marmoratus-G	marmoratus
marmoratus-EH	marmoratus
marmoratus-E	marmoratus
marmoratus-H	marmoratus
marmoratus-B	aureatus
marmoratus-C	intermedius
